City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,springbok,-29.6643,17.8865,10.89,80,7,1.14,ZA,1682636518
162,tumayr,25.7039,45.868,23.83,38,4,3.05,SA,1682636518
163,atafu village,-8.5421,-172.5159,28.86,72,41,7.09,TK,1682636519
164,myitkyina,25.3833,97.4,21.86,45,43,1.04,MM,1682636520
165,lerwick,60.1545,-1.1494,4.0,81,84,7.42,GB,1682636520
166,fortaleza,-3.7227,-38.5247,25.07,94,0,1.54,BR,1682636301
167,jamestown,42.097,-79.2353,13.8,44,0,4.63,US,1682636521
168,benjamin constant,-4.3831,-70.0311,27.07,89,0,1.03,BR,1682636521
169,hamilton,39.1834,-84.5333,19.69,42,0,5.66,US,1682636271
170,aasiaat,68.7098,-52.8699,-4.99,94,18,1.34,GL,1682636522
171,gordonvale,-17.0936,145.7842,27.72,71,53,3.3,AU,1682636522
172,punta del este,-34.9667,-54.95,17.15,88,0,1.54,UY,1682636403
173,galesong,-5.3166,119.3661,24.01,84,99,2.63,ID,1682636523
174,arrifes,37.7667,-25.7,16.14,94,20,6.17,PT,1682636523
175,kisangani,0.5167,25.2,22.95,81,35,0.53,CD,1682636523
176,taghazout,30.5426,-9.7112,19.43,70,99,1.47,MA,1682636524
177,college,64.8569,-147.8028,4.0,51,99,0.26,US,1682636524
178,bonthe,7.5264,-12.505,26.92,77,62,3.27,SL,1682636524
179,booue,-0.0921,11.9385,23.23,94,82,0.67,GA,1682636524
180,san luis de la loma,17.2706,-100.8939,29.13,54,25,4.16,MX,1682636525
181,iskateley,67.6803,53.1512,-4.62,89,99,4.02,RU,1682636525
182,duyun,26.2667,107.5167,16.56,99,100,0.68,CN,1682636525
183,buncrana,55.1333,-7.45,9.12,95,100,1.19,IE,1682636526
184,tralee,52.2704,-9.7026,9.39,95,81,1.7,IE,1682636513
185,egbe,8.2167,5.5167,23.1,84,100,3.28,NG,1682636526
186,uliastay,47.7417,96.8444,-5.01,53,11,2.01,MN,1682636527
187,castro,-24.7911,-50.0119,14.01,82,16,1.2,BR,1682636498
188,lebu,-37.6167,-73.65,14.52,93,100,5.14,CL,1682636529
189,tolanaro,-25.0319,46.9987,22.04,88,75,3.09,MG,1682636529
190,santa elena de uairen,4.6167,-61.1333,21.01,88,86,0.78,VE,1682636531
191,anta,25.15,76.3,25.69,44,100,0.98,IN,1682636532
192,maintirano,-18.0667,44.0167,25.24,75,4,4.15,MG,1682636532
193,retreat,38.8245,-85.8533,18.53,82,100,2.81,US,1682636532
194,wotho,10.1657,166.0102,27.11,83,55,8.93,MH,1682636533
195,zemetchino,53.4973,42.6163,12.19,68,79,2.04,RU,1682636533
196,polyarnyy,69.1989,33.4478,-3.58,83,19,5.42,RU,1682636533
197,ancud,-41.8697,-73.8203,12.65,94,100,4.97,CL,1682636534
198,taroa,8.7058,171.2275,27.25,83,40,6.46,MH,1682636534
199,pitiquito,30.7,-112.0833,33.17,9,0,7.13,MX,1682636534
200,progreso,21.2833,-89.6667,39.06,65,90,6.86,MX,1682636535
201,selfoss,63.9331,-20.9971,0.58,99,100,2.6,IS,1682636535
202,sandnessjoen,66.0217,12.6316,3.14,89,82,0.89,NO,1682636536
203,kabansk,52.0486,106.6528,-2.23,89,43,1.79,RU,1682636536
204,namibe,-15.1961,12.1522,23.43,75,27,0.16,AO,1682636537
205,corinth,37.9407,22.9573,13.27,64,78,1.17,GR,1682636537
206,san juan de miraflores,-12.1629,-76.9635,25.09,77,37,3.88,PE,1682635976
207,jinchang,38.4953,102.1739,2.04,24,53,7.48,CN,1682636249
208,mount isa,-20.7333,139.5,22.87,49,34,1.03,AU,1682636430
